,sentences,users,date,sentiment_score
21,"hi, therewe, opposite, eco, ardence, commercial, area, opposite, eco, ardence, phase, 1, aere, log, www.tuai.myyou, aerial, image, google, map, location, pin, thank",suntrack,"May 8 2020, 12:27 PM",0.3612
22,"unit, open, site",mollysue,"May 8 2020, 01:00 PM",0.0
23,"hi, mollysuethank, interest, unit, gallery, complete, open, 1st, june, onwards, inform, thank",suntrack,"May 8 2020, 05:55 PM",0.6705
24,"developer, follow, showroom, mean, future, small, substitute, tile, quality, etc",ejmaster,"May 8 2020, 08:21 PM",0.0
25,"hi, pm, detail, tq",lucky258,"May 9 2020, 12:06 PM",0.0
26,"nice, concept, build, old, people, normaly, convenient, young, people, good, stay",tometoto,"May 9 2020, 10:17 PM",0.6908
27,"strange, building, target, audience, old, people?name, sound, like, orang, tua.their, ad, feature, old, people",JohnRothstein,"May 9 2020, 10:41 PM",0.1779
28,"dear, ejmasterwe, understand, valid, concern, ask, licensed, surveyor, measure, dimension, wall, verify, display, letter, verification, unit, finish, inevitable, change, finish, supply, issue, commit, provide, unit, tile, event, commit, replace, tile, equivalent, high, quality, specification, size, value, thank, thank, yes, tuai, residence, build, inclusive, community, welcome, generation, age, abilities!hi, johnrothsteinyes, tuai, unique, mean, harvest, malay, language, harvest, beautiful, communal, celebration, culture, public, holiday, sarawak, tuai, residence, building, place, sow, intergenerational, interaction, community, reap, happiness, haha, .., ya, tua, bad, create, comfortable, community, senior, resident, age, gracefully, residential, home, claim, suitable, age, suitable, young, resident, emphasis, ad, target, senior, resident, family, age, parent, physical, appearance, condo, look, like, condo, point, feature, friendly, age, ability, visit, www.tuai.my, check, thank",suntrack,"May 10 2020, 04:35 PM",0.9925
29,"key, feature, claim, home, suitable, generation, maximum, fire, protection, inside, condo, unit, common, area, condo, block, bomba, requirement, fo, residential, home, provide, fire, sprinkler, inside, house, fire, sprinkler, effective, fast, fire, wait, fire, engine, youtube, fire, sprinkler, small, fire, fire, ball, minute, fire, protection, young, child, senior, resident, require, mobility, assistance, safe, home, thank",suntrack,"May 15 2020, 12:09 PM",-0.9186
30,"hi!how, unit, project",Wiseman0514,"May 15 2020, 02:33 PM",0.0
31,"hello, wisemanthank, question, tuai, residence, consist, 330, unit, freehold, condominium, low, density, high, rise, development, allow, clarify, low, density"", people, equate, total, number, unit, low, density, example, 200, unit, low, density, regardless, land, size, project, kl, 200, unit, build, 1, acre, density, 200, unit, acre, high, common, 9, storey, tall, carpark, podium, tuai, 330, unit, 6.6, acre, density, 50, unit, acre, relatively, low, high, rise, development, density, low, playground, swimming, pool, ground, tree, grow, better, ground, concrete, planter, box, landscape, nice, carpark, spread, carpark, podium, 3, storey, tall, clubhouse, ground, level, friendly, soothing, space, spread, out.330, unit, good, number, share, maintenance, cost, high, low, thank",suntrack,"May 20 2020, 10:57 AM",0.8519
32,"hi, asian, type, high, heat, smoke, cooking, style, trigger, fire, suppression, system, smoke, detector",ahhead21,"May 29 2020, 11:59 AM",-0.34
33,"hear, eco, ardence, launch, condo, well.1,000, sf, sell, 400k, partial, furnish, somemore, le.https://says.com/my/fun/join-this-new-duduk...agram-challenge",Gentlebre,"May 29 2020, 04:28 PM",0.0
34,"2, phase, total, 1.7k, unit, target, different, market, guess",SongChiang,"May 29 2020, 10:37 PM",0.0
35,"helloasian, type, cooking, trigger, smoke, detector, instal, yard, smoke, trigger, fire, sprinkler, thank",suntrack,"May 29 2020, 10:45 PM",0.0258
36,"yes, different, market, project1, low, density, 330, unit, carpark, half, grade, half, 3, storey, tall, car, park, podium.2, design, multigeneration, multi, ability, care, office, service, provide, support, age, parent, home.3, emphasize, communal, space, build, community, young, old, plenty, activity, room, clubhouse, low, density, setting, easy, community, know, other.4, commercial, development, pure, residential, let, resident, development, club, house, future, retail, connect, link, bridge.5, build, raise, family, comfortable, space, live, long, child, safety, big, thing, large, fence, playground, child, play, parent, peace, mind.6, indoor, badminton, basketball, courts.7, safety, security, big, anti, climb, perimeter, fence, cctv, boundary, fire, sprinkler, common, area, inside, unit, safe, generation, pay, visit, gallery, experience, environment, mean, gallery, guardhouse, form, permanent, building, future, future, entrance, thank",suntrack,"May 29 2020, 11:26 PM",0.9779
