,sentences,users,date,sentiment_score
41,"leaflet, perfectly, fine, wave, architectural, highlight, curve, parking, floor, address, putrajaya, local, council, majlis, perbandaran, sepang, freehold, way, confirm, registration, e, mail, property.marketingirc@ioigroup.com",blackfuzzy,"Feb 6 2014, 10:43 AM",0.8442
42,"price, stand",nkhong,"Feb 6 2014, 12:35 PM",0.0
43,"consider, dwiputra, residence, precint, 15, price, 500, 550, psf, guy, think, choice",Nidz,"Feb 6 2014, 03:27 PM",0.0
44,"ioi, vs, sp, setiathis, future, big, shopping, mall, golf, course, nearbywhat, dwiputra, attraction",CMW123,"Feb 6 2014, 03:30 PM",0.4588
45,"dwiputra:-nearby, alamanda, estimate, completion, 2015/2016i, think, property, similar, attraction, need, check, exact, location, development, like, know, road, access, traffic, condition, need, toll, reach, office, precint, 8, golf, course, huge, attraction, personally",Nidz,"Feb 6 2014, 04:12 PM",0.872
46,"think, clio, ioi, city, mall, development, ya, ....",TSaccetera,"Feb 7 2014, 09:42 AM",0.0
47,"boss, confirm, notice, open, registration, banner, state, locate, arm, reach, upcoming, ioi, city, mall"", ..., 16, sierra, ioi, piece, land, ...",CMW123,"Feb 7 2014, 09:48 AM",0.0258
48,"price, projection, place, change, projection",blackfuzzy,"Feb 7 2014, 01:46 PM",0.0
49,"clio, definitely, ioi, city, mall, thing, street, mall, east, persiaran, utara, site, clio, residences, west, straight, distancewise, mall, clio, half, kilometer",blackfuzzy,"Feb 7 2014, 02:28 PM",0.5574
50,"depend, road, condition, etc, ..., 500, meter, walk, able, opinion, near, pelangi, utama, 1u, believe",stevenkkt,"Feb 7 2014, 08:22 PM",0.0
51,"distance, matter, checklist, safe, ...",CMW123,"Feb 7 2014, 10:31 PM",0.4588
52,"taiko, review, exact, location, ah",nkhong,"Feb 8 2014, 10:28 AM",0.0
53,"email, sa, register, interest, project, probably, launch, september, year",Nidz,"Feb 9 2014, 03:48 AM",0.4588
54,"la, think, share, info, help",blackfuzzy,"Feb 9 2014, 10:57 AM",0.5994
55,thanks,nkhong,"Feb 10 2014, 12:00 PM",0.4404
56,"area, booming, .., compare, puteri, palma, 5, month, ago, post, low, occupancy, .., occupancy, rate, improve, unit, renovation, .., lot, high, class, expat, live, include, japanese, european, etc, .., ioi, resort, city, place, invest, area, guess, .., mid, valley, development, .., fyi.above, gigantic, mall, high, class, office, 5, star, hotel, construction, ..",optimus28,"Feb 10 2014, 01:17 PM",0.2023
57,"problem, 9, unit, floor, configuration, 4, lift, serve, floor, .for, interested, small, size, think, register, 1, unit, floor, size, 2, unit, size, floor",blackfuzzy,"Feb 10 2014, 08:45 PM",0.0
58,"price, small, unit, area, far, cyberjaya, ..., concern, 1, km, away, serdang, hospital",MoonRider,"Feb 11 2014, 09:21 AM",0.0
59,"apparently, price, unit, finalise, .i, miss, distance, serdang, hospital, concern",blackfuzzy,"Feb 11 2014, 01:02 PM",-0.1531
60,"probably, people, think, hospital, good, fengshui, perspective, people, die, hospital, lot, spirit, accidental, house, live, nearby, ...",nkhong,"Feb 11 2014, 01:12 PM",-0.1531
61,"point, view, think, effectively, affect, lot, place, sunway, subang, puchong, putrajaya, ampang, kajang, pretty",blackfuzzy,"Feb 11 2014, 01:33 PM",0.7269
62,"nah, .., spirit, thing, .., chance, heard, lot, biii, booo, biii, booo, sound, ...",MoonRider,"Feb 11 2014, 01:51 PM",0.3182
63,"appeared, proximity, doubt, point, probably, thing, bear, mind, future, property, piece, .my, thank",blackfuzzy,"Feb 11 2014, 03:05 PM",0.0
64,"mistaken, use, silk, highway, kajang, head, putrajaya, putrajaya, exit, thing, left, fence, clear, land",payamam,"Feb 11 2014, 03:48 PM",0.0258
65,"umm, actually, hoard, area, refer, actual, site, slightly, far, probably, mark, pretty, common, misunderstanding, hear",blackfuzzy,"Feb 11 2014, 03:56 PM",0.1027
66,"hear, hoard, area, currently, construction, build, shoplot, clio, locate, left, end, build, bridge, direct, mall, parcel, development, master, plan, look, like, develop, currently, complete, condo, mall, retail, space, 80, tenant, office, hotel, upcome, definitely, good, place, consider, investment, look, forward, project",VT7,"Feb 11 2014, 04:42 PM",0.7964
67,"project, launch, interested, project",12Digit,"Feb 11 2014, 04:58 PM",0.4019
68,"target, launch, sept-2014, think, official, website, ready, register, email, property.marketingirc@ioigroup.com",vinctan88,"Feb 11 2014, 05:17 PM",0.3612
69,"passby, site, locate, entrance, putrajaya, ioi, city, dry, dull, place, moment, depend, ioi, city",mingyew,"Feb 11 2014, 07:49 PM",-0.4019
70,"mall, refer, investment, value, right, buy, mature, township, like, pj, kl, high, psf, price, believe, property, price, increase, substantially, mall, complete, fully, occupy, think, cyberjaya, sell, 600, 700++, psf, hope, launch, mall, completion, pay, premium",VT7,"Feb 11 2014, 08:23 PM",0.8885
71,"actual, site:2.964794, 101.720101",mingyew,"Feb 12 2014, 12:19 AM",0.0
72,"yup, place, near, refer, master, plan, location, hoarding, locate, clio, slightly, far, persiaran, utara",vinctan88,"Feb 12 2014, 07:31 AM",0.0
73,"link, uniten, voila~",mingyew,"Feb 12 2014, 09:26 AM",0.0
74,"think, ppl, uniten, pay, kind, rental",lamode,"Feb 12 2014, 09:28 AM",0.4588
75,"tell, sa, fix, price, project, probably, rm500, 600, psf, region, pricing, development, similar, dwiputra, residence, presint, 15, 5, min, away",Nidz,"Feb 12 2014, 10:22 AM",0.0
76,"agree, refer, puteri, palma, condo, mall, unit, rent, work, expat, cyberjaya, bangi, sepang, rate, rm2,500, /-, basic, furnished, unit, rm3,500, /-, fully, furnish, unit",vinctan88,"Feb 12 2014, 10:27 AM",0.3612
77,"think, resident, particularly, happy, live, student, people, afford, big, size, family, chance, think, turn, pretty, family, community, majority, unit, actually, big",blackfuzzy,"Feb 12 2014, 02:47 PM",0.8479
78,"url, link, homepage",MoonRider,"Feb 12 2014, 04:25 PM",0.0
79,"hopefully, la, ..., tot, dwiputra, launch, long, time, ago, unit, meh, putrajaya, vs, ioi, resort, alamanda, vs., ioi, city, mall, clio, advantage, term, location, attraction, mall, size, environment, long, term, township, development, ..., long, term, rental, investment, la, p, dwiputra, think, stay, understand, sa, ioi, resort, selangor, wor, w.p, putrajaya, right",VT7,"Feb 12 2014, 04:34 PM",0.7506
80,"clio, website, ready, send, registration, property.marketingirc@ioigroup.com, visitioi, resort, cityioi, properties, groupioi, city, mall",vinctan88,"Feb 12 2014, 05:21 PM",0.3612
81,"working, expat, mean, non, malaysian, demand, currently, commercial, ioi, resort, city, ...",CMW123,"Feb 12 2014, 06:03 PM",-0.128
82,"yes, dwiputra, total, 4, block, 2, block, sell, 3rd, block, currently, sale, 4th, block, open, sale, think, dwiputra, stay, clio, investment",Nidz,"Feb 13 2014, 10:16 AM",-0.836
83,"yup, professional, contract, oil, gas, engineer, pilot, stewardess, lecturer, international, school, ie, alice, smith, nexus, john, hopkins, perdana, university, come, medical, city, expat, budget, rent, budget, opt, place, environment, marriott, hotel, surprisingly, pack, business, traveller, function, conference, commercial, ioi, city, mall, target, open, end, year, shop, lot, currently, planning, previously, mention, hoard, area, construction, shop, lot",vinctan88,"Feb 13 2014, 01:46 PM",0.296
84,"note, putrajaya, cyberjaya, condo, supply, .., thank, issue, rent, .., probaly, govt, servant, rent, sure, rent, price, expect, uniten, alrady, new, condo, goign, complet, 1, 2, year",MoonRider,"Feb 13 2014, 04:27 PM",0.5859
85,"true, future, owner, clio, rely, proximity, project, ioi, city, mall, main, attraction, rent, sell, govt, servant, rent, plenty, quarter, cheap, property, putrajaya",Nidz,"Feb 13 2014, 04:32 PM",0.7003
86,"end, capital, appreciation, fall, demand, depend, things.-, amenity, immediate, neighbour, surroundings-, community, environment, townshipthis, currently, reflect, puteri, palma, community, colourful, unit, occupy, multiple, nationality, japs, koreans, asians, westerners, .there, reason, choose, locate, long, purchaser, rental, fair, possibility, living, expense, probably, cover, employ, organisation, way, new, limitation, minimum, purchase, price, actually, use, advantage",blackfuzzy,"Feb 13 2014, 05:21 PM",0.5994
87,"u, think, rent, expat, .., think, .., company, work, mat, salleh, majority, hartamas, .., company, pay, rental, .., hartamas, choice, community, international, schooland, mat, salleh, prefer, condo, 1, -2, bedroom, ..., 3, .., access, western, food, restaurant, .., new, ioi, mall, complete, soon, .., limiation, night, life, shop, close, 11, p.m., follow, mall, operating, hour, .., friday, night, clubbing, .., putrajaya, yelek, ..., know, work, lot, mat, salleh, ...",MoonRider,"Feb 14 2014, 01:45 PM",-0.1027
88,"bro, dun, mind, ask, work, kl, area, reason, want, drive, km, home, work, factor, jam, hor, compare, forteen, km, traffic, free, lo, maybe, choice, find, place, nearby, rent, wat, know, hor, expat, enjoy, healthy, lifestlye, la, know, expat, come, family, 1, bedroom, unit, work, single, limited, budget, student, ...., normally, city, centre, weekend, grocery, avoid, jam, lo, ..., think, expat, limit, mat, saleh, right, hahaha, ..., malaysia, famous, rojak, la, cina, melayu, indian, expat, mat, salleh, kimchi, bibimbap, japanese, india, etc, ma, ..., speak, international, schools, hor, guess, putrajaya",VT7,"Feb 14 2014, 09:32 PM",0.875
89,"list, educational, institution, rafflesia, international, private, schoolsalice, smith, international, schoolnexus, international, school, putrajayatanah, rata, international, schoolelc, international, school, australian, international, school, malaysiamultimedia, universiti, limkokwing, universityuniversity, putra, malaysia, universiti, tenanga, nasional, cyberjaya, university, college, medical, sciences, segi, college, seri, kembanganroyal, islamic, university, malaysia, johns, hopkins, university, school, medicinesome, fact, cyberjaya, •, employer, cyberjaya, o, hewlett, packard, o, hsbc, bank, o, shell, o, t, systems, o, ibm, ibm, invest, rm1billion, year, build, new, global, delivery, center, cyberjaya, malaysia, bring, 3000, high, quality, knowledge, base, jobso, dhl, o, dell, •, population, o, 53,000, 2013, o, 30,000, knowledge, worker, local, international, professionals, cyberjayao, asia, australasia, europe, america",vinctan88,"Feb 14 2014, 09:43 PM",0.0
90,"check, man, mat, sallehs, work, actually, drive, 80, km, forth, like, 6, toll, everyday, assumption, work, cyberjaya, nightlife, single, day, refer",blackfuzzy,"Feb 14 2014, 10:34 PM",0.3612
91,"fact, ioi, city, mallioi, city, mallexpected, operation, –, october, 2014no, outlet, 350, specialty, store, 4, floorsgross, shopping, floor, –, 2.2, million, sq, ftnet, lettable, area, –, 1.4, million, sq, ft)gross, development, cost, rm1.5, millionentertainment:-international, size, ice, skating, rink-13, screens, cinema, -district, 21-bowling, centre, anchor, tenant, parksontescohomeprogscabout, homepro, homepro, house, brand, new, quality, stylish, value, alternative, house, owner, homepro, provide, 10, quality, brand, cover, 1,000, selection, respond, vast, variety, requirement, home, repair, exist, home, house, decorative, new, exist, home",vinctan88,"Feb 17 2014, 11:31 AM",0.34
92,"work, mnc, cyberjaya, lol, 2006, till, .., .., drive, lah, night, kuai, lo, .., 1, pub, hop, grape, cyerbajay, people, .., kuai, lo, like, stay, community, ..., miss, equine, near, cyberjaya, kuai, lo, community, near, shopping, mall, clio, alamanda, .., check, business, kuai, lo, alamanda?shaftburry, kinda, nice, place, rental, .., cyberjaya, condo, .., oversupplyif, mistaken, use, mex, later, interchange, kerinchi, link, .., come, work, round, 9, 9.30am, traffic, ...",MoonRider,"Feb 17 2014, 12:38 PM",0.5729
93,"53,000, 2013, increase, 100, 3, years?the, current, daytime, work, population, huge, mnc, like, hp, shell, etc, 2, major, uni, like, mmu, lkw, .., major, news, mega, mnc, huge, uni, campus, come, new, construction, huge, standalone, office, like, shell, ntt, ericsson, hp, hsbc?so, work, opportunity, come, small, shoplot, office, retail, like, glomac, dpulze, etc, intend, increase, population, 50,000",twincharger07,"Feb 17 2014, 12:44 PM",0.9668
94,"morning, traffic, definitely, traffic, acceptable, evening, home, traffic, teruk, least,1.5, hour, day",CMW123,"Feb 18 2014, 10:51 PM",0.6124
95,"agree, night, population, low, 20, day, time, population, check, puteri, palma, condos, beverly, row, bungalow, ioi, resort, city, gita, bayu, serdang, tell, sa, visit, south, development, year, rent, east, lake, residence, serdang, perdana.+1, point, post, 92, shop, weekday, prefer, city, centre, weekend, avoid, jam, weekend, crowd, shopping, mall, busier, right, look, ikea, preferred, place, stay, damansara?by, time, clio, complete, ioi, city, mall, celebrate, 3rd, anniversary, bother, alamanda",vinctan88,"Feb 19 2014, 09:52 AM",0.128
96,"ang, mo, work, time, cyberjaya, travel, way, city, want, stay, cyber, taxi, erl, city, rent, car, monthly, change, future, cyber, happen, maybe, sure, country, expat, like, china, india, yes, willing, stay, cyber, travel, weekend, city, center",nkhong,"Feb 19 2014, 12:33 PM",0.7783
97,"company, mention, standalone, office, btw, number, source, net, forumer, easy, reference, interesting, news, base, 2010, survey, stratos, consulting, group, sdn, bhd, 180,000, resident, 15-minutes, drive, radius, cyberjaya, project, increase, 310,000, resident, 2014, 2015, tandem, township, economic, growth, completion, number, residential, development, kan, point, cyberjaya, 500, company, multimedia, super, corridor, status, 40, multinational, corporation, work, population, 76,900, people, 65,000, student, “the, mall, project, serve, 450,000, people, end-2015, lot, retail, opportunity, township, serve, ”the, press, release, jan, 2013, like, population, increase, 141,900",vinctan88,"Feb 19 2014, 12:39 PM",0.9666
98,"press, estimate, figure, know, cyberjaya, live, work, different, story, .., company, mention, exist, standalone, company, contribute, current, 50,000, day, time, population, .., question, 50,000, population, come, build, big, mnc, office, cyberjaya, .., build, small, retail, office, soho, etc, ...",twincharger07,"Feb 19 2014, 02:58 PM",0.0
99,"brother, u, check",xyyap,"Feb 19 2014, 03:01 PM",0.0
100,"good, question, main, point, solely, focus, growth, invest, cyberjaya, point, potential, clio, term, rental, investment, potential, growth, cyberjaya, company, work, professional, residential, unit, demand, ioi, resort, city, resort, township, development, neighbouring, cyberjaya, locate, centre, point, puchong, south, seri, kembangan, cyberjaya, putrajaya, upcoming, bangi, sepang, southern, corridor",vinctan88,"Feb 19 2014, 03:17 PM",0.765
101,"wao, ...., thank, share, information, ...",szenyee,"Feb 19 2014, 03:33 PM",0.5719
102,"frankly, speak, lot, major, developer, build, putrajaya, cyberjaya, currently, believe, surely, discussion, study, step, unique, territory, main, concern, long, ioi, draw, crowd, operate, mall, mall, play, important, value, appreciation, area, interested, property, investment, wish, price, budget, lol, ..",szenyee,"Feb 22 2014, 07:39 PM",0.9584
103,"dwiputra, clio, far, clio, separate, road, mall, walk-able.the, distance, clio, new, mall, distance, dwiputra, alamanda",faizalmzain,"Feb 23 2014, 12:09 AM",0.0
104,"yes, cross, 4, 6, lane, street, new, mall, walk, flyover",faizalmzain,"Feb 23 2014, 11:14 PM",0.4019
105,"study, uniten, student, rent, condo, especially, rich, kids.but, 10, year",faizalmzain,"Feb 23 2014, 11:27 PM",0.5984
106,"kuai, lo, mat, salleh?i, usually, alamanda, weekend, yes, mat, salleh, old, mat, salleh, lah, sure, live, course, kl, mall, like, klcc, pavilion",faizalmzain,"Feb 25 2014, 12:51 AM",0.7579
107,"plan, year, end, wor",lamode,"Feb 26 2014, 02:10 PM",0.0
108,"ioi, city, mall, putrajayasource, https://www.facebook.com/ioiresortcity",TSaccetera,"Feb 26 2014, 06:09 PM",0.0
109,"time, progress, good",xyyap,"Feb 26 2014, 06:52 PM",0.6908
110,"big, mall, wow, retailer, compete, finish, visit, current",enkil,"Feb 26 2014, 06:52 PM",0.5859
111,"wait, ice, skating, rink",lamode,"Feb 27 2014, 02:39 PM",0.0
112,"actual, site, ..., hoard, upvery, far, mall, ..., attraction, point, drop",CMW123,"Mar 28 2014, 11:29 AM",0.2263
113,"try, convey, early, location, drive, car, consider, nearby",TSaccetera,"Mar 30 2014, 11:21 AM",0.0
114,"walk, distance, think, sell, unit, dirt, cheap, time, shopping, mall, mature, condo, sell, rm1000, psf, lor.quote, accetera, feb, 26, 2014, 06:09, pm]i, try, convey, early, location, drive, car, consider, nearby[/quote",Soros007,"Mar 30 2014, 12:06 PM",0.1027
115,"walk, distance, think, sell, unit, dirt, cheap, time, shopping, mall, mature, condo, sell, rm1000, psf, lor.quote, accetera, feb, 26, 2014, 06:09, pm]i, try, convey, early, location, drive, car, consider, nearby[/quote",Soros007,"Mar 30 2014, 12:52 PM",0.1027
116,"ask, sale, person, clio, residence, furth, service, apartment, condo.the, advertisement, fence, currently, road, putrajaya, exact, clio, residence, actual, inside, near, hospital, serdang, side.in, future, condo, tower, service, apartment, clio, residence, tell, mefuture, plane, serviced, apartment, palm, garden, hotel, near, ioi, city, mallsecond, puteri, plama, condominiumthird, block, condo, opposite, palm, garden, club, house, slightly, near, high, tension, electrical, cable.last, clio, residence, mention, change, sale, person, tell, cause, ioi, city, mall, surrounding, alot, new, project, ioi, come",leelee1988,"Mar 30 2014, 04:47 PM",-0.6041
117,"insist, walk, mall, mall, everyday, 500, m, away, mall, carry, grocery, walk, way, home, bad, malaysian, style, push, trolley, way, home, compare, service, apartment, build, mall, like, empire, subang, etc, difference, doubt, plan, bulid, maybe, like, soros, rm1000, sf, clio, locate, opposite, parcel, development, putrajaya, gate1, highway, puteri, palma, condo, mall, road, 18, hole, golf, course, figure, difference, walk, distance, tip, allow, cross, fencing, walk, course, bridge, tunnel, site, construction, mixed, development, shop, lot, service, apartment, clio, adjacent, example, puchong, resident, work, people, think, patrol, shop, lot, puchong, jaya, bandar, puteri, prefer, ioi, mall, daily, basis, clio, upcoming, palm, garden, hotel?forget, distance, look, product, want, small, size, unit, affordable, purchase, clio, offer, 850sf, unit, rm600, sf, average, count, rm500k, onwards, compare, future, mistake, range, 1,000, sf, definitely, high, price, rm700, totally, different, entry, level, product, ioi, resort, city, good, product, depend, individual, buying, purpose, investment, personally, prefer, clio, size, low, entry, price, high, growth, potential, development, currently, construction, consider, buy, stay, want, low, density, privacy, resort, live, experience, like, puteri, palma, condo, miss, boat, mind, wait, future, development, surround, despite, high, price, big, build, suitable, stay",VT7,"Mar 30 2014, 07:48 PM",0.6124
118,"sneak, peek, upcoming, development, clio, residences, ioi, resort, city, locate, arm, reach, upcoming, ioi, city, mall, excellent, accessibility, skve, link, nse, ldp, silk, mex, highway, expect, launching, 3q, 2014, register, email, property.marketingirc@ioigroup.com, +603, 8947, 8899, enquiry, clio, ioiresortcity, putrajaya, ioi, properties, fb, page",vinctan88,"Mar 30 2014, 08:02 PM",0.5859
119,"mall, open",rongfu,"Mar 31 2014, 12:20 AM",0.0
120,"good, info, thank",tmdsad,"Mar 31 2014, 12:47 AM",0.6597
121,"2014, time, clio, vp, mall, mature, alredi",CMW123,"Mar 31 2014, 09:26 AM",0.4215
122,"grand, opening, target, end-2014, currently, 80, tenantedthe, hotel, office, attach, start, operation, maybe, second, phase, mall, half, way, completion, complete",vinctan88,"Mar 31 2014, 04:20 PM",0.4588
123,"second, phase?what, lettable, sf, 1st, phase, n, 2nd, phase",CMW123,"Mar 31 2014, 04:28 PM",0.0
124,"ioi, big, land, sure, developer, build, good, clio, set, standard, ioi, land",tikaram,"Apr 1 2014, 01:59 PM",0.6369
125,"wait, grand, opening, shopping, mall, careful, aes, camera",babygrand123,"Apr 1 2014, 02:05 PM",0.5574
126,"600, psf, kind, expensive, town, ah",nkhong,"Apr 2 2014, 01:05 AM",0.5267
127,"wait, new, mall, open, near, kajang, =d",Kvsual,"Apr 2 2014, 01:18 AM",0.5106
128,"near, putrajaya, cyberjaya, bangi, sepang, puchong, south",VT7,"Apr 2 2014, 09:39 AM",0.0
129,"lol, near, puchong, geh, 20min",Kvsual,"Apr 2 2014, 09:51 AM",0.4215
130,"ioi, properties, showcase, ioi, mall, case, township, klang, valley, hope, info, reveal, clio, residenceson, project, puchong, skypod, square, puteri, hills, parc, ville, skyz, residence, 16, sierra, sierra, centro, 1, open, registration, akira, semi, d, la, thea, residencesioi, resort, clio, residences, klang, terrace, house, semi, d, shop, office, 2, storey, shop, officebangi, terrace, house, shop, lot, service, apartment, open, registrationsepang, terrace, house, open, registration""our, annual, showcase, year, happen, april, miss, great, promotion, deal, information, upcoming, project, come, visit, ioi, mall, showcase, property, prime, location, look, good, deal, enjoy, 24, month, 0, interest, credit, card, installment, property, purchase, visit, www.ioiproperties.com.my/showcase, stay, tune, information, ioipshowcase, ioimall, puchong, ioipropertie, https://www.facebook.com/ioiproperties",vinctan88,"Apr 3 2014, 10:24 AM",0.9524
131,"look, like, upcoming, mall, outshine, mall, area, include, planning, cyberjaya",CMW123,"Apr 3 2014, 03:49 PM",0.3612
132,"agree, talk, town, kajang",tikaram,"Apr 10 2014, 12:15 PM",0.3612
133,"recent, condo, ioi, stupid, skypod, seriously, look, sibeh, good",HELLO HELLO,"Apr 10 2014, 01:02 PM",-0.296
134,"wrong, skypod",CMW123,"Apr 12 2014, 08:55 AM",-0.4767
135,"people, think, design, conventional, non, attractive, sell, like, hot, cake",puchongite,"Apr 12 2014, 11:21 AM",0.6597
136,"puchong, 3, hot, spot, klang, valley",vinctan88,"Apr 12 2014, 03:47 PM",0.0
137,"skypod, sibeh, lousy, look, skypod, new, 1, include, 1, look, bad.but, ioi, developer, boh, impressive, condo, project, complete, know, sibeh, rich",HELLO HELLO,"Apr 12 2014, 06:42 PM",0.5267
138,"sibeh, lousy, fully, sell, year, sa, tell, 2, unit, 1, bedroom, size, leave, ioi, property, buyer, buy, value, township, developer, like, puchong, mature, price, demand, rise, location, price, size, dev, reputation, design, cashflow, king, confident, buyers.speaking, design, recent, project, seriously, impressive, especially, jb, singapore, like, seascape, south, beach, recent, puteri, hill, pfcc, puchong, ioi, city, mall, afford",VT7,"Apr 14 2014, 02:27 PM",0.8689
139,"spot, 3puchong, east, puchong, south, puchong, west",CMW123,"Apr 14 2014, 03:06 PM",0.0
140,"puchong, east, puchong, south, puchong, west, 5, puchong, east, west, south, north, central",puchongite,"Apr 14 2014, 03:20 PM",0.0
141,"spot, 3pj, puchong, ara, damansara",vinctan88,"Apr 14 2014, 03:24 PM",0.0
142,"pj, puchong, ara, damansarasyoik, sendiri, type, classification, sirim, approve",puchongite,"Apr 14 2014, 10:04 PM",0.0
143,"pj, doubt, 3, strategic, working, place",TSaccetera,"Apr 22 2014, 10:14 PM",-0.3612
144,"ic, ic, mean, mk, desa, park, d'sara, height, bangsar, hot, spot, hot, ..., wangsa, maju, cheras, cyberjaya, hot, spot, refer, 3, ..., hottest, ...",vinctan88,"Apr 22 2014, 10:44 PM",0.0
145,"hot, ..., wangsa, maju, cheras, cyberjaya, hot, spot, refer, 3, ..., hottest, ..., 3, basis",puchongite,"Apr 22 2014, 10:48 PM",0.0
146,"3, basis, haiyo, .., y, ask, post, survey, report, iproperty, share, info, answer, puchong, property, sell, like, hot, cake, @@",vinctan88,"Apr 23 2014, 09:48 AM",0.5719
147,"haiyo, .., y, ask, post, survey, report, iproperty, share, info, answer, puchong, property, sell, like, hot, cake, @@since, mention, survey, iprop",puchongite,"Apr 23 2014, 02:20 PM",0.5719
